S.NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
63,PE-2,E05,23CID3203,ARCHITECTING HIGHLY AVAILABLE AND SCALABLE CLOUD ENVIRONMENTS,EVEN
64,PE-2,E09,23CSB3202,NETWORK AND INFRASTRUCTURE SECURITY,EVEN
65,PE-2,E09,23CSB3203,INTRODUCTION TO BLOCKCHAIN AND CRYPTO CURRENCIES,EVEN
66,PE-2,E11,23DEA3202,DATA EXPLORATION AND PREPARATION,EVEN
67,PE-2,E11,23DSB3202,DATA WAREHOUSING AND MINING,EVEN
68,PE-2,E17,23GDU3202,UX DESIGN,EVEN
69,PE-2,E22,23AN3202,AUTONOMOUS VEHICLES & AUTOMOTIVE ELECTRONICS,EVEN
70,PE-2,E22,23AN3203,ROBOT MANIPULATION AND WHEELED MOBILE ROBOTS,EVEN
71,PE-2,E02,25GMI3202,ENGINEERING LARGE LANGUAGE MODEL SYSTEMS,EVEN
72,PE-2,E02,25QTS3202,QUANTUM CRYPTOGRAPHY & QUANTUM COMMUNICATION,EVEN
73,PE-3,E02,23AAS3304,APPLIED DEEP LEARNING FOR AUTONOMOUS SYSTEMS,EVEN
74,PE-3,E26,23AAS3309,AUTONOMOUS ELECTRIC MOBILITY - SYSTEMS AND APPLICATIONS,EVEN
75,PE-3,E02,23ACI3303,FUZZY LOGIC WITH SET THEORY,EVEN
76,PE-3,E02,23AVI3303,OBJECT DETECTION,EVEN
77,PE-3,E02,23ALT3303,CONVERSATIONAL AI AND CHATBOT DEVELOPMENT,EVEN
78,PE-3,E09,23BEW3303,DECENTRALIZED APPLICATIONS AND DECENTRALIZED WEB,EVEN
79,PE-3,E05,23CEC3305,CLOUD & SERVERLESS COMPUTING,EVEN
80,PE-3,E05,23CID3304,CLOUD INFRASTRUCTURE ARCHITECTURE AND ENGINEERING,EVEN
81,PE-3,E09,23CSB3304,DIGITAL FORENSICS,EVEN
82,PE-3,E11,23DEA3303,BIG DATA TECHNOLOGIES,EVEN
83,PE-3,E11,23DSB3303,BIG DATA ANALYTICS,EVEN
84,PE-3,E17,23GDU3303,AR & VR APPLICATION DEVELOPMENT,EVEN
85,PE-3,E22,23AN3304,ADVANCED ROBOTICS,EVEN
86,PE-3,E02,25GMI3303,REINFORCEMENT LEARNING,EVEN
87,PE-3,E02,25QTS3303,QUANTUM SENSING & METROLOGY,EVEN
