SL NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
123,PEC-5,E26,23ASS3511M,AI DRIVEN ECU DESIGN FOR AUTONOMOUS VEHICLES,ODD
124,PEC-5,E02,23ACI3507,REINFORCEMENT LEARNING,ODD
125,PEC-5,E02,23AVI3508,ADVANCED IMAGE PROCESSING AND ANALYSIS,ODD
126,PEC-5,E02,23ADE3508,EDGE AI & SUSTAINABILITY,ODD
127,PEC-5,E02,23ALT3507,LANGUAGE MODEL FOR SPEECH PROCESSING,ODD
128,PEC-5,E09,23BEW3509,FUTURE TRENDS IN BLOCKCHAIN AND WEB3,ODD
129,PEC-5,E05,23CEC3510,EDGE COMPUTING,ODD
130,PEC-5,E05,23CID3508,CLOUD DATA MANAGEMENT AND STORAGE SOLUTIONS,ODD
131,PEC-5,E05,23CNE3508,CLOUD INFRASTRUCTURE AND VIRTUALIZATION,ODD
132,PEC-5,E16,23CPD3508,CROSS PLATFORM USER INTERFACE DESIGN,ODD
133,PEC-5,E09,23CSB3510,SECURITY GOVERNANCE & MANAGEMENT,ODD
134,PEC-5,E11,23DEA3505,MACHINE LEARNING ENGINEERING FOR BIG DATA,ODD
135,PEC-5,E11,23DSB3511,GRAPH & WEB ANALYTICS,ODD
136,PEC-5,E09,23DLA3507,DISTRIBUTED LEDGER ARCHITECTURE FOR AUTOMATION,ODD
137,PEC-5,E17,23GDU3506,PRINCIPLES OF GAME DESIGN,ODD
138,PEC-5,E22,23RAN3507,COMPUTER VISION & APPLICATIONS,ODD
139,PEC-5,E11,23SDM3507,INTELLIGENT SOCIAL MEDIA MONITORING SYSTEMS,ODD
140,PEC-5,E27,23SMD3506,SOFTWARE RELIABILITY,ODD
